Country_iso,Sector,Fuel,Unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
afg,ENE,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0.000108002,0.000103811,0.000402677,0.00061267,0.00077064,0.000956135,0.001108281,0.002990374,0.001264755,0.001562635,0.001317039,0.001362515,0.001540128,0.002061849,0.002263851,0.002818927,0.002205766,0.003509988,0.003244872,0.002749654,0.002664578,0.002355214,0.001357784,0.001319728,0.001044133,0.000977043,0.000895583,0.000839277,0.001073738,0.000794405,0.000978546,0.00110385,0.001032417,0.001458232,0.001216453,0.001580306,0.001920604,0.001794598,0.003473846,0.005706882,0.006085581,0.006530518,0.006518972,0.004989862,0.005010859,0.005946899,0.006329166,0.006620655
afg,ENE,PROCESS,kt C/year,0.000115193,0.000154225,0.000185825,0.00011335,0.000185825,0.000154225,0.00014865,0.00019325,0.000143075,0.00013565,0,0,0,0,0,0,0,0,0,0,0,1.30E-05,1.12E-05,1.12E-05,0,0,1.12E-05,1.12E-05,1.12E-05,0,0,0,0,0,1.56E-05,4.20E-05,5.86E-05,5.37E-05,0.000141722,0.000202952,0.000223285,0.000256186,0.000238163,0.000212789,0.0002221,0.000225212,0.000210209,0.000187628
afg,ENE,SOLID_BIOFUEL,kt C/year,0.007332588,0.007668281,0.007667948,0.007667642,0.007666388,0.008916468,0.009039181,0.009159611,0.010566412,0.04710152,0.047210139,0.046214984,0.046272252,0.044918809,0.044750585,0.043484761,0.042383462,0.041418382,0.0407277,0.040468352,0.040700283,0.041325661,0.042280844,0.043274298,0.044030379,0.04442991,0.04482308,0.032960042,0.032967715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011097886,0.011166417,0.007870386,0.011265512,0.011592065
afg,ENE,TOTAL_COAL,kt C/year,2.87E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-06,4.91E-05,3.23E-05,4.76E-05,7.58E-05,8.63E-05,0.000127257,0.000657932,0.000722414,0.00066202,0.000639961,0.002198343,0.001908433,0.002256169,0.002860105,0.219267372,0.485591517,0.608951879
afg,IND,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0.04521583,0.063559374,0.037923444,0.039586254,0.069143623,0.02952701,0.028330607,0.032093562,0.038767699,0.05359581,0.045528689,0.044751228,0.04264505,0.069100564,0.039866054,0.056907748,0.028188902,0.066859022,0.068467589,0.090934541,0.099034233,0.094942418,0.034690309,0.02122228,0.043197903,0.025350898,0.02229196,0.025243489,0.027420275,0.016389736,0.004768435,0.003690514,0.003208973,0.002144657,0.002001455,0.000463431,0.006976408,0.016047791,0.038860027,0.053449197,0.083316446,0.01740558,0.018134331,0.012645152,0.011562084,0.009670007,0.006706802,0.005829836
afg,IND,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afg,IND,SOLID_BIOFUEL,kt C/year,0,0,0,0,0,0,0,0,0,6.14E-05,0,0.000239097,0.000384914,0.000964246,0.000957068,0.000826301,0.000305302,0.014921765,0.014483715,0.014903152,0.020907349,0.023175394,0.023762687,0.02756053,0.030045556,0.030708732,0.030933851,0.032788427,0.032862269,0.047150642,0.047247525,0.049541871,0.05032393,0.050853822,0.055807013,0.053507382,0.055026336,0.05689521,0.058717238,0.066753824,0.04492215,0.03664819,0.03581616,0.038528691,0.040457744,0.04143203,0.03907371,0.039890578
afg,IND,TOTAL_COAL,kt C/year,0.02719073,0.025586328,0.022411745,0.052906778,0.032672835,0.082471308,0.087486644,0.064966547,0.1135889,0.050891543,0.053062007,0.071345798,0.074593768,0.070683327,0.066687333,0.052481078,0.056130115,0.059694459,0.04404157,0.040141704,0.037281413,0.032190538,9.02E-05,6.28E-05,4.05E-05,4.32E-05,1.97E-05,1.18E-05,1.18E-05,1.19E-05,1.06E-05,0.000186314,0.000152418,0.000258816,0.000231503,0.000266048,0.000394792,0.002706502,0.004346558,0.005157244,0.007664878,0.229390979,0.197224632,0.206607619,0.205923558,0.158022405,0.171911049,0.175910341
afg,NRTR,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0.001682808,0.001486143,0.001366697,0.001204705,0.001504083,0.005008001,0.003831603,0.005302892,0.005207724,0.006432632,0.004566185,0.005921294,0.006031197,0.007026493,0.008861287,0.010449899,0.007829255,0.011617655,0.011753587,0.008109952,0.006398317,0.005874005,0.002829384,0.004815533,0.00485149,0.004967937,0.004960732,0.004640852,0.004357984,0.003112595,0.004316663,0.004583576,0.004190948,0.006018218,0.005914316,0.008520591,0.010472099,0.0083304,0.019628549,0.029310771,0.039413586,0.081684993,0.081820409,0.063488672,0.057006962,0.059902837,0.063261557,0.066188526
afg,NRTR,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
