COUNTRY,AUT,CHE,BLX,ESP,FIN,FRA,GBR,GRC,ITA,RFA,SWE,TUR,NOR,BGR,HUN,POL,RCEU,RCZ,ROM,MEME,NOA,EGY,GOLF,WAF,EAF,SAF,RSA,KAZ,RIS,RUS,RUE,UKR,COR,JPN,AUS,NZL,PAC,MON,CHN,TWN,RSAS,NDE,IDN,THA,MYS,PHL,VNM,RSEA,CAN,USA,BRA,MEX,RCAM,CHL,ARG,RSAM,Ship,Air,Ocean
MYS,0.000444,0.00047,0.000497,0.000649,0.000395,0.000522,0.000575,0.000572,0.000492,0.000446,0.00046,0.00053,0.000522,0.000431,0.000406,0.000404,0.000466,0.000409,0.000393,0.000601,0.000686,0.000668,0.000968,0.001375,0.003533,0.002112,0.001627,0.000408,0.000661,0.000363,0.000344,0.000374,0.000414,0.001187,0.001639,0.001764,0.00794,0.000347,0.00176,0.006009,0.002213,0.004196,0.140191,0.063227,1.271246,0.079212,0.045308,0.018941,0.000399,0.000603,0.002102,0.001448,0.002442,0.001635,0.00126,0.001283,0,0,0.009975
PHL,0.000745,0.000839,0.000935,0.001157,0.000764,0.001002,0.00107,0.001017,0.00091,0.000818,0.000893,0.000943,0.000971,0.000787,0.000712,0.000765,0.000805,0.00073,0.000727,0.00104,0.001131,0.001208,0.001067,0.000874,0.001061,0.000793,0.000626,0.000681,0.000959,0.000679,0.000628,0.000703,0.002294,0.002637,0.000574,0.000621,0.002636,0.001333,0.00435,0.028122,0.002203,0.001165,0.007694,0.021818,0.047629,0.366874,0.038878,0.015616,0.000776,0.001124,0.000839,0.001981,0.002667,0.000574,0.000458,0.000825,0,0,0.003847
VNM,0.000973,0.001039,0.001231,0.001499,0.001071,0.001249,0.001423,0.001299,0.001124,0.001065,0.001213,0.001184,0.001314,0.001053,0.000954,0.001041,0.001072,0.000969,0.000988,0.001234,0.001392,0.001388,0.0013,0.000807,0.000812,0.000291,0.00019,0.000895,0.001127,0.000944,0.000859,0.000977,0.001925,0.002466,0.000187,0.000201,0.001014,0.001237,0.018976,0.025797,0.00497,0.003919,0.003898,0.114889,0.034257,0.021704,0.389321,0.103354,0.00119,0.0016,0.000283,0.002006,0.002276,0.000181,0.000147,0.00048,0,0,0.024151
RSEA,0.004067,0.00457,0.005086,0.006239,0.004169,0.005392,0.005781,0.004727,0.00458,0.004386,0.004758,0.00412,0.005296,0.003796,0.00373,0.003946,0.004076,0.003861,0.003587,0.004044,0.005308,0.004682,0.003448,0.002077,0.001285,-0.000052,-0.000129,0.003293,0.003701,0.003451,0.003326,0.003523,0.003465,0.0064,-0.000115,-0.000099,0.002091,0.003116,0.02948,0.053171,0.039752,0.022225,0.005813,0.215548,0.029153,0.028488,0.120477,0.606356,0.004752,0.005754,-0.000085,0.006482,0.007206,-0.000085,-0.000066,0.001067,0,0,0.043294
CAN,0.03158,0.038408,0.057051,0.042824,0.04279,0.048319,0.068291,0.02166,0.027156,0.046423,0.051549,0.019166,0.058667,0.022631,0.02758,0.036586,0.023676,0.033758,0.024528,0.015488,0.021769,0.017328,0.009179,0.001334,0.000435,-0.000078,-0.000066,0.025027,0.018661,0.028792,0.024405,0.028123,0.01164,0.01162,-0.000043,-0.000044,-0.000067,0.013083,0.006685,0.003502,0.003133,0.001065,-0.000072,0.000269,-0.000013,0.000349,0.000481,0.000308,-0.67625,0.029609,-0.000074,0.003408,0.005017,-0.000043,-0.000035,0.000274,0,0,-0.001618
USA,0.098096,0.109785,0.120163,0.144721,0.090677,0.12121,0.132955,0.105031,0.095073,0.110041,0.105393,0.106819,0.111056,0.09274,0.093052,0.098523,0.094038,0.098104,0.089716,0.116622,0.114811,0.120265,0.092615,0.02516,0.010515,0.000152,0.000025,0.089788,0.111353,0.086084,0.072443,0.088825,0.063198,0.07459,0.000048,0.000076,0.000939,0.061671,0.045345,0.039314,0.047876,0.02935,0.000171,0.006731,0.001815,0.009418,0.008809,0.010252,-0.099576,-0.903677,0.000267,0.187396,0.147184,0.000036,0.000052,0.010097,0,0,0.040578
BRA,0.000102,0.000141,0.000145,0.00026,0.000092,0.000207,0.000163,0.000151,0.000107,0.000105,0.000091,0.000129,0.000125,0.000083,0.000091,0.00007,0.000122,0.000084,0.000069,0.000163,0.00024,0.00017,0.001058,0.003504,0.028677,0.07688,0.100128,0.000147,0.000362,0.000081,0.0001,0.000054,-0.000078,-0.000008,0.080051,0.090572,0.030599,-0.000017,0.000198,0.000155,0.001109,0.003039,0.010842,0.001652,0.000785,0.00097,0.001003,0.001638,0.000084,0.000188,0.888572,0.002004,0.010229,0.066369,0.290112,0.197845,0,0,0.011493
MEX,0.013343,0.014914,0.015969,0.021836,0.01185,0.017291,0.017334,0.017144,0.015551,0.014194,0.01386,0.016181,0.014205,0.013451,0.012421,0.012672,0.013962,0.012685,0.012245,0.016938,0.019086,0.019153,0.015018,0.007897,0.004,0.000668,0.000487,0.011021,0.015979,0.011064,0.00944,0.011495,0.011556,0.015356,0.000393,0.000425,0.001081,0.01006,0.008785,0.010694,0.013191,0.010892,0.000339,0.002297,0.000896,0.003723,0.002941,0.004186,0.013441,0.043556,0.000934,0.787859,0.084212,0.00035,0.000312,0.006854,0,0,0.0271
RCAM,0.005557,0.006424,0.006549,0.009651,0.004849,0.007404,0.007036,0.006969,0.006351,0.005914,0.00561,0.006674,0.005672,0.00546,0.005127,0.00522,0.005776,0.005252,0.004942,0.00714,0.008454,0.007977,0.008185,0.00489,0.00386,0.001221,0.000862,0.004702,0.007588,0.004449,0.003885,0.004573,0.00479,0.006558,0.000636,0.000682,0.001195,0.004139,0.004325,0.005972,0.008024,0.007408,0.000464,0.001937,0.000919,0.002951,0.002311,0.003227,0.004385,0.020179,0.001578,0.159817,0.559638,0.000613,0.00059,0.061527,0,0,0.019539
CHL,0.000059,0.000006,-0.000018,0.000046,0.000003,0.000025,-0.000002,0.000012,-0.000002,0.000001,0,0.000005,-0.000002,0.000002,0.000021,0.000005,0.00001,0.000035,0,0.000009,0.000005,0.00002,0.000012,0.000054,0.001026,0.003743,0.009358,0.000004,0.000005,0.000002,0.000002,-0.000003,-0.000006,-0.000007,0.010571,0.013045,0.00154,-0.000003,0,-0.000004,0.000012,0.000053,0.000553,0.000034,0.000014,0.000011,0.000017,0.000028,-0.000018,-0.000008,0.008677,0.00001,0.000053,-0.213777,0.044332,0.008656,0,0,0.001568
ARG,-0.00004,0.000066,0.000035,0.000047,0,0.000079,0.000009,0.000026,0.000032,0.000024,0.000003,0.000022,0.000022,0.000028,0.000004,0.000001,0.000015,-0.000012,0.000023,0.000013,0.000032,0.000023,0.000056,0.000225,0.004375,0.015994,0.034909,0.000005,0.00001,0.000002,0.000004,0.000007,-0.000019,-0.000016,0.036722,0.044744,0.006737,-0.000009,0.000003,-0.000007,0.000048,0.000219,0.002421,0.000146,0.00007,0.00008,0.000079,0.000127,0.000013,0,0.049651,0.00002,0.000144,0.063948,0.231509,0.016606,0,0,0.002336
RSAM,0.001169,0.001377,0.0015,0.002169,0.001146,0.001616,0.001697,0.001754,0.001465,0.001284,0.001337,0.001814,0.001408,0.001363,0.001166,0.001178,0.001392,0.001132,0.001207,0.002052,0.002197,0.0022,0.00345,0.00451,0.013363,0.026021,0.029836,0.001275,0.002444,0.001096,0.001005,0.001093,0.001129,0.001658,0.025161,0.02818,0.012963,0.000996,0.00142,0.002063,0.003603,0.004818,0.004864,0.002199,0.001317,0.002676,0.001943,0.00271,0.001043,0.002317,0.062475,0.026718,0.111869,0.032034,0.109037,0.952831,0,0,0.006378
Ship,0.203915,0.241453,0.225162,0.377948,0.215339,0.202208,0.221744,0.246045,0.242112,0.24292,0.193812,0.184372,0.265014,0.167149,0.17258,0.213487,0.195747,0.204547,0.160924,0.20765,0.411275,0.302909,0.223565,0.122773,0.132455,0.079015,0.100849,0.133767,0.134589,0.158299,0.142765,0.168476,0.187191,0.303051,0.152781,0.1881,0.177495,0.147167,0.128699,0.458383,0.102545,0.118301,0.166178,0.190423,0.329984,0.428931,0.293956,0.142476,0.190207,0.200777,0.131629,0.172784,0.318749,0.077654,0.06205,0.09776,0,0,0.134699
Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
